Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  06/1945;  0.0;  0.0;  0.0;  0.0;  0.0;  0.3;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.4;  0.0;  0.0;  0.0;  0.0;  0.6;  0.0;  0.0;  0.0;0.0;0.0;---;0.6;1.3
  07/1945;  0.0;  0.0;  0.0;  0.0;  0.3;  0.0;  0.3;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.3;0.6
  08/1945;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  09/1945;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  4.7;  6.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;6.5;11.2
  10/1945;  0.0;  0.6;  0.0; 34.4;  0.0;  0.0;  0.0;  0.0; 41.0;  4.1;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 20.2;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  6.0;  0.0;  0.0;9.5;0.0;0.0;41.0;115.8
  11/1945; 22.4; 11.1; 25.5;  0.0;  0.0; 22.0;  0.0;  8.0; 10.0;  0.0; 47.6;  0.0; 25.5; 52.3;  0.0;  0.0;  0.0; 13.8;  0.0;  0.0;  5.5;  5.3;  0.0;  4.0; 24.0;  0.0; 36.8; 23.8;0.0;0.0;---;52.3;337.6
  12/1945;  0.0;  0.0;  0.0;  0.0;  0.0; 18.0; 16.8; 17.0;  0.0; 17.6;  0.0;  0.0;  9.9;  7.0; 15.5;  0.0; 19.0; 37.0; 33.3;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 31.0;  0.0; 23.0;58.0;0.8;54.0;58.0;357.9
  01/1946;  0.0;  0.9; 14.0;  0.0;  0.0;  9.0;  6.2;  0.0;  0.0;  0.0;  4.0;  0.0;  0.0;  0.0; 22.5;  0.0;  0.0;  6.5;  0.0;  0.0; 29.2;  0.0;  0.0; 14.2;  0.0;  0.0; 18.0; 36.2;17.4;0.0;0.0;36.2;178.1
  02/1946;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  6.0;  0.0;  0.0;  0.0; 44.5;  0.0;  6.0; 13.0;  6.1;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 12.0; 11.0;  0.0;  0.0;  0.0;  0.0;---;---;---;44.5;98.6
  03/1946;  0.0;  8.5;  1.5; 29.4;  4.0;  1.5;  0.0;  0.0;  0.0;  0.0; 18.5; 19.0; 39.0; 13.0; 11.0;  8.3; 11.7;  0.0; 14.5;  0.0;  9.0;  0.0;  0.0;  0.0; 21.2;  0.0;  0.0;  0.0;0.0;0.0;0.0;39.0;210.1
  04/1946; 16.0; 17.0;  0.0; 17.7;  0.0;  0.0;  0.0;  7.0;  0.0;  0.0;  3.5;  0.0; 11.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;17.7;72.2
  05/1946;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.5;0.5
  06/1946;  0.0; 26.0;  4.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;26.0;30.0
  07/1946;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  6.0;  0.0;  9.0;  0.0; 16.5;  0.0;  0.0; 33.5;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  6.2;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;33.5;71.2
